38000
0.204 0.064 0.204
0 0.147737 0.04418 0.0361619
0 0.0851079 0.0600009 0.0260484
0 0.0962883 0.0191883 0.0471423
0 0.145564 0.025927 0.0142642
0 0.0490818 0.0241761 0.045587
0 0.019393 0.025402 0.0569061
0 0.146679 0.0592456 0.0535785
0 0.0710289 0.0146528 0.0576723
0 0.0942857 0.0310928 0.0538745
0 0.161501 0.0117069 0.0371022
0 0.0924221 0.0328158 0.0229115
0 0.0648694 0.0117099 0.011339
0 0.0438848 0.0376706 0.0608333
0 0.141713 0.0137955 0.0604908
0 0.0865513 0.0454632 0.0347092
0 0.133385 0.0117478 0.0604804
0 0.152827 0.0453555 0.0222987
0 0.0828951 0.0224616 0.0446434
0 0.0918504 0.0600009 0.0119542
0 0.0735468 0.0242764 0.0532373
0 0.107847 0.0585346 0.0387759
0 0.101826 0.0244799 0.0566248
0 0.111847 0.057037 0.0218804
0 0.11693 0.012848 0.00900067
0 0.0405682 0.0365162 0.0349817
0 0.187675 0.0470421 0.0544456
0 0.154962 0.0514657 0.0195632
0 0.0658852 0.0208461 0.0568309
0 0.11416 0.0191858 0.0409345
0 0.0226786 0.0564274 0.0497326
0 0.0913145 0.0490884 0.00804248
0 0.132481 0.0593595 0.0569215
0 0.0788745 0.0414029 0.0156187
0 0.189883 0.0600002 0.0587248
0 0.100943 0.042339 0.00481923
0 0.159486 0.0245998 0.0228643
0 0.16313 0.0463054 0.0442203
0 0.075607 0.0237041 0.0165322
0 0.101528 0.0562039 0.025696
0 0.152686 0.0523299 0.0601379
0 0.135265 0.0289621 0.0305571
0 0.171921 0.0274331 0.0608801
0 0.0250112 0.00904287 0.0526378
0 0.0603514 0.0226215 0.0207333
0 0.110138 0.0457507 0.00875843
0 0.124189 0.0316603 0.0505553
0 0.118796 0.041263 0.0256863
0 0.103633 0.0343871 0.0224414
0 0.0259953 0.0361474 0.0519347
0 0.0515515 0.0109664 0.0180367
0 0.0660416 0.021989 0.0245496
0 0.10431 0.0538335 0.00407347
0 0.0766476 0.0564264 0.0248605
0 0.118565 0.00399985 0.00545176
0 0.0947923 0.0417328 0.0578197
0 0.0793096 0.0498462 0.0512282
0 0.0845914 0.0600007 0.0473594
0 0.0461765 0.0351982 0.0467545
0 0.0669533 0.0442331 0.0105121
0 0.163406 0.03179 0.0352392
0 0.136478 0.0217529 0.0347858
0 0.155228 0.0359192 0.0255657
0 0.120748 0.0141681 0.0169808
0 0.0134196 0.0327823 0.0600933
0 0.13423 0.0504613 0.0331789
0 0.0819218 0.0175798 0.0339043
0 0.17161 0.0321167 0.0613701
0 0.0561744 0.0458852 0.048748
0 0.102968 0.048227 0.00723667
0 0.0997786 0.0378176 0.0447702
0 0.12918 0.0555922 0.0527102
0 0.154735 0.0406572 0.0371722
0 0.0331386 0.0429114 0.0463496
0 0.120316 0.0513409 0.012217
0 0.0977014 0.0478342 0.0414599
0 0.139075 0.0227772 0.027598
0 0.144633 0.0320222 0.0389825
0 0.0498129 0.0207689 0.0475529
0 0.167544 0.0528276 0.0569448
0 0.0739635 0.00399997 0.0476313
0 0.0556787 0.0191163 0.0199534
0 0.0940499 0.0492173 0.042325
0 0.127936 0.0331491 0.0178064
0 0.147098 0.00638912 0.0185937
0 0.152892 0.0499166 0.0560926
0 0.111005 0.0333929 0.0515831
0 0.0495169 0.0502369 0.0192403
0 0.130891 0.0513738 0.0242739
0 0.12929 0.0526567 0.0347403
0 0.120706 0.0509432 0.0561915
0 0.188472 0.0277645 0.0559536
0 0.0774347 0.026672 0.0496237
0 0.0330019 0.0524384 0.0487383
0 0.104063 0.0381997 0.0142152
0 0.0696273 0.0600002 0.0567187
0 0.0998225 0.00479985 0.0140026
0 0.0552621 0.00399998 0.0353471
0 0.117266 0.0373832 0.0296097
0 0.0283544 0.0411353 0.0525959
0 0.0787892 0.0319862 0.054758
0 0.0957629 0.0600009 0.0274957
0 0.0362618 0.00399931 0.0346714
0 0.115181 0.0449405 0.0303278
0 0.0629505 0.0141917 0.0184842
0 0.168888 0.0283303 0.0584317
0 0.0182693 0.00548759 0.051159
0 0.163102 0.0492985 0.0310788
0 0.0280787 0.0449588 0.0537702
0 0.119852 0.0566988 0.0193375
0 0.105988 0.00827597 0.0512403
0 0.173461 0.00685283 0.0515821
0 0.0922787 0.0472534 0.0542852
0 0.13134 0.0167965 0.0490636
0 0.122502 0.00399995 0.0507094
0 0.0377045 0.052938 0.0331327
0 0.147426 0.0325674 0.0343025
0 0.0949467 0.0583625 0.0310509
0 0.096494 0.00680626 0.0446831
0 0.191396 0.037442 0.0619475
0 0.071087 0.0334208 0.0572015
0 0.152859 0.0437365 0.0259561
0 0.181284 0.0562946 0.0481852
0 0.126997 0.0496258 0.0416937
0 0.0707191 0.0337552 0.0612452
0 0.0981207 0.0369257 0.0172515
0 0.143448 0.00789155 0.019235
0 0.0593195 0.0448779 0.0211201
0 0.0578092 0.0121871 0.0278826
0 0.161531 0.038705 0.0287004
0 0.110622 0.0426852 0.0225011
0 0.160082 0.0398216 0.0363603
0 0.0896239 0.0363427 0.0193559
0 0.137855 0.0585243 0.0457198
0 0.0930237 0.028256 0.0143509
0 0.0615593 0.0363997 0.0456188
0 0.161011 0.0572301 0.049778
0 0.0929459 0.0115089 0.0308456
0 0.0360115 0.0554796 0.0516791
0 0.146655 0.0183432 0.0495118
0 0.136463 0.0326709 0.0296605
0 0.0916973 0.0293022 0.0179766
0 0.0967146 0.0271625 0.0224071
0 0.0840472 0.00473453 0.0448033
0 0.107408 0.00771778 0.0261862
